run_id,num_clients,local_epochs,top_k_ratio,dp_sigma,snr,round,accuracy,loss,comm_cost,energy_used,round_time
0,10,1,0.05,0.001,,1,12.785,3.932534095077515,2108260,2108260,156.21634101867676
0,10,1,0.05,0.001,,2,16.622999999999998,3.5661536854553217,2108260,2108260,152.67008304595947
0,10,1,0.05,0.001,,3,21.292,3.5146962329101563,2108260,2108260,155.67159390449524
0,10,1,0.05,0.001,,4,21.990000000000002,3.225017576789856,2108260,2108260,178.8645887374878
0,10,1,0.05,0.001,,5,25.293999999999997,3.0782224204635624,2108260,2108260,154.32341504096985
0,10,1,0.05,0.001,,6,25.845999999999997,3.1475322042274474,2108260,2108260,155.6783308982849
0,10,1,0.05,0.001,,7,28.342000000000002,2.983892742271423,2108260,2108260,153.19465017318726
0,10,1,0.05,0.001,,8,30.064999999999998,2.856930856666565,2108260,2108260,155.3695571422577
0,10,1,0.05,0.001,,9,30.383000000000003,2.937004929389954,2108260,2108260,152.30440497398376
0,10,1,0.05,0.001,,10,31.371999999999996,2.9059438765907286,2108260,2108260,153.48203301429749
0,10,1,0.05,0.001,,11,31.302999999999997,2.92572249042511,2108260,2108260,157.81561183929443
0,10,1,0.05,0.001,,12,32.867000000000004,3.047318928375244,2108260,2108260,154.2828290462494
0,10,1,0.05,0.001,,13,33.894999999999996,2.860999114761353,2108260,2108260,158.89808797836304
0,10,1,0.05,0.001,,14,35.205,2.940809088516235,2108260,2108260,156.3414270877838
0,10,1,0.05,0.001,,15,36.138999999999996,2.779337840423584,2108260,2108260,153.97442412376404
0,10,1,0.05,0.001,,16,36.18,3.004292849521637,2108260,2108260,159.91195821762085
0,10,1,0.05,0.001,,17,37.212,2.9236969885826114,2108260,2108260,157.1779887676239
0,10,1,0.05,0.001,,18,37.04100000000001,2.880009329872131,2108260,2108260,163.0104320049286
0,10,1,0.05,0.001,,19,38.119,3.001128127784729,2108260,2108260,161.8483657836914
0,10,1,0.05,0.001,,20,38.739999999999995,3.0398069923400883,2108260,2108260,160.532634973526
0,10,1,0.05,0.001,,21,39.388999999999996,2.964553262825012,2108260,2108260,162.79194283485413
0,10,1,0.05,0.001,,22,39.772000000000006,2.9298102552795413,2108260,2108260,160.4363510608673
0,10,1,0.05,0.001,,23,39.748000000000005,3.019993281993866,2108260,2108260,160.32891201972961
0,10,1,0.05,0.001,,24,40.238,3.1051474071121214,2108260,2108260,159.33612298965454
0,10,1,0.05,0.001,,25,40.972,3.18664242521286,2108260,2108260,164.93266010284424
0,10,1,0.05,0.001,,26,40.757000000000005,2.984752507171631,2108260,2108260,158.83285307884216
0,10,1,0.05,0.001,,27,42.215,3.0450169169235233,2108260,2108260,165.045019865036
0,10,1,0.05,0.001,,28,41.892999999999994,2.973949738101959,2108260,2108260,160.51768898963928
0,10,1,0.05,0.001,,29,43.363,3.03813680606842,2108260,2108260,160.09772300720215
0,10,1,0.05,0.001,,30,41.884,3.1308745121765136,2108260,2108260,160.63223385810852
0,10,1,0.05,0.001,,31,43.44199999999999,3.2056231201171874,2108260,2108260,159.51275491714478
0,10,1,0.05,0.001,,32,43.012,3.157041644802094,2108260,2108260,159.67789125442505
0,10,1,0.05,0.001,,33,43.359,3.3430721176338194,2108260,2108260,161.50789999961853
0,10,1,0.05,0.001,,34,43.38100000000001,3.3156059466552734,2108260,2108260,162.49173307418823
0,10,1,0.05,0.001,,35,44.019999999999996,3.262689771556855,2108260,2108260,159.7140829563141
0,10,1,0.05,0.001,,36,44.361,3.387609728965759,2108260,2108260,160.3749077320099
0,10,1,0.05,0.001,,37,43.232,3.4913674666023256,2108260,2108260,158.12807202339172
0,10,1,0.05,0.001,,38,44.493,3.348630398674011,2108260,2108260,165.56385779380798
0,10,1,0.05,0.001,,39,43.791,3.504583265800476,2108260,2108260,162.48900389671326
0,10,1,0.05,0.001,,40,44.531,3.60454358039856,2108260,2108260,161.19552397727966
0,10,1,0.05,0.001,,41,44.656,3.5155633335495,2108260,2108260,159.0890600681305
0,10,1,0.05,0.001,,42,44.857,3.5508884241485594,2108260,2108260,159.5496461391449
0,10,1,0.05,0.001,,43,44.346,3.804301988983154,2108260,2108260,158.0762379169464
0,10,1,0.05,0.001,,44,45.444,3.854901236610412,2108260,2108260,161.6679048538208
0,10,1,0.05,0.001,,45,44.782000000000004,3.776264920196534,2108260,2108260,158.53232789039612
0,10,1,0.05,0.001,,46,45.079,3.9736547694778444,2108260,2108260,163.52509188652039
0,10,1,0.05,0.001,,47,43.852,3.9298996667480472,2108260,2108260,157.6483850479126
0,10,1,0.05,0.001,,48,44.467999999999996,4.323994255371095,2108260,2108260,165.56847381591797
0,10,1,0.05,0.001,,49,44.431,4.283199572715759,2108260,2108260,161.2077991962433
0,10,1,0.05,0.001,,50,44.563,4.424123443717957,2108260,2108260,165.83487915992737
